ID usuario,Tiempo creacion de certificado,Tiempo ACT,Tiempo Total,Tiempo Real
315,134,59,1071,-1
9,466,80,1882,-1
21,168,85,867,-1
17,150,86,1011,-1
13,173,78,1225,-1
16,156,85,1090,-1
20,130,88,893,-1
12,175,90,1350,-1
24,180,69,725,-1
10,341,79,1599,-1
14,173,77,1162,-1
18,166,83,1017,-1
22,149,83,836,-1
19,137,97,944,-1
11,300,95,1393,-1
23,172,101,794,-1
30,94,61,176,-1
25,133,57,204,-1
26,129,61,207,-1
28,125,61,205,-1
29,124,63,207,-1
27,122,67,209,-1
31,120,65,217,-1
34,125,59,206,-1
33,135,57,221,-1
37,125,60,212,-1
32,133,68,228,-1
35,126,60,213,-1
36,127,60,219,-1
39,118,57,229,-1
38,120,57,257,-1
40,124,68,237,-1
41,121,60,236,-1
43,117,57,294,-1
42,118,62,307,-1
45,113,58,259,-1
44,113,60,314,-1
47,118,64,250,-1
46,112,70,294,-1
48,126,69,234,-1
49,132,58,243,-1
52,124,61,219,-1
50,122,57,304,-1
51,125,56,275,-1
53,121,63,231,-1
55,116,58,231,-1
54,116,61,315,-1
56,115,59,246,-1
57,111,55,226,-1
58,119,55,233,-1
59,117,56,235,-1
60,112,67,227,-1
61,108,59,229,-1
62,114,67,257,-1
63,110,60,231,-1
64,120,58,226,-1
66,114,79,277,-1
67,117,87,273,-1
68,166,57,301,-1
70,133,60,316,-1
71,124,60,271,-1
69,114,68,386,-1
65,112,58,549,-1
74,124,60,233,-1
73,123,59,321,-1
72,131,68,356,-1
76,117,55,220,-1
75,116,54,279,-1
77,116,59,231,-1
78,111,55,223,-1
80,117,57,233,-1
79,120,55,268,-1
81,113,57,213,-1
82,112,71,247,-1
83,122,65,277,-1
84,138,62,310,-1
85,142,56,272,-1
86,125,55,272,-1
87,121,59,307,-1
89,122,59,232,-1
88,110,60,275,-1
90,110,59,216,-1
91,115,58,244,-1
92,117,64,219,-1
93,117,64,262,-1
94,129,67,267,-1
95,126,82,271,-1
96,128,90,299,-1
97,153,65,315,-1
99,146,61,248,-1
100,122,73,258,-1
101,121,63,263,-1
102,126,63,257,-1
103,121,67,248,-1
98,115,79,489,-1
104,111,79,278,-1
107,153,79,309,-1
106,154,78,386,-1
108,162,71,306,-1
111,170,67,296,-1
109,143,92,427,-1
113,166,73,315,-1
105,167,63,671,-1
112,155,59,424,-1
115,122,63,307,-1
110,143,75,564,-1
114,134,55,404,-1
117,124,57,275,-1
116,142,62,349,-1
118,122,57,302,-1
119,137,57,278,-1
120,115,58,254,-1
122,119,55,220,-1
121,114,55,259,-1
123,116,55,212,-1
124,109,56,214,-1
125,119,57,216,-1
126,113,63,230,-1
127,109,56,239,-1
128,120,57,231,-1
129,110,57,207,-1
130,118,55,208,-1
131,110,55,215,-1
132,110,59,204,-1
134,107,68,213,-1
133,109,57,264,-1
135,124,63,250,-1
136,113,62,259,-1
137,112,61,244,-1
138,125,68,248,-1
139,118,63,218,-1
140,128,82,249,-1
141,133,56,265,-1
142,131,68,243,-1
143,129,66,276,-1
144,126,66,245,-1
145,113,61,256,-1
146,121,61,245,-1
147,120,65,244,-1
149,110,56,210,-1
148,126,55,272,-1
151,119,63,215,-1
150,113,67,302,-1
152,115,58,248,-1
154,113,60,249,-1
155,113,55,232,-1
153,111,57,321,-1
156,110,59,201,-1
157,108,67,221,-1
158,127,71,256,-1
159,137,59,253,-1
160,117,57,231,-1
161,113,60,266,-1
163,119,57,259,-1
162,116,55,294,-1
165,116,59,232,-1
164,111,66,308,-1
166,115,59,256,-1
167,113,57,221,-1
168,114,55,245,-1
169,110,59,237,-1
170,114,57,268,-1
171,113,60,231,-1
172,111,60,222,-1
173,108,56,225,-1
174,112,95,261,-1
175,148,74,307,-1
177,156,73,280,-1
178,124,63,248,-1
176,149,62,322,-1
179,117,56,246,-1
181,116,54,270,-1
180,117,57,304,-1
182,112,56,252,-1
184,112,61,201,-1
183,110,59,298,-1
185,113,58,218,-1
187,109,55,221,-1
186,109,58,293,-1
188,117,60,226,-1
190,115,54,212,-1
189,113,65,266,-1
191,109,58,212,-1
192,110,56,210,-1
193,113,55,232,-1
194,110,56,216,-1
195,109,55,221,-1
196,112,54,205,-1
197,110,57,207,-1
198,109,64,204,-1
199,113,57,319,-1
,127.7905759,63.68586387,334.3717277,
