ID usuario,Tiempo creacion de certificado,Tiempo ACT,Tiempo Total,Tiempo Real,
2,141,67,244,-1,
3,137,106,302,-1,
4,136,82,250,-1,
5,139,75,266,-1,
6,202,90,334,-1,
7,289,68,425,-1,
8,159,73,259,-1,
9,198,56,285,-1,
10,149,74,256,-1,
11,137,82,263,-1,
12,180,81,303,-1,
13,233,78,349,-1,
14,150,80,266,-1,
15,182,79,327,-1,
16,147,90,268,-1,
17,244,112,386,-1,
18,213,81,379,-1,
19,308,93,469,-1,
20,315,87,485,-1,
21,234,103,360,-1,
22,136,65,257,-1,
23,191,78,328,-1,
24,142,59,219,-1,
25,253,76,360,-1,
26,177,54,291,-1,
27,273,75,398,-1,
28,148,75,299,-1,
29,228,70,334,-1,
30,95,33,174,-1,
31,227,27,295,-1,
32,297,58,367,-1,
33,142,32,194,-1,
34,128,60,206,-1,
35,103,24,143,-1,
36,131,58,218,-1,
37,111,56,181,-1,
38,113,58,189,-1,
39,116,56,189,-1,
40,110,60,187,-1,
41,114,62,197,-1,
42,115,58,187,-1,
43,115,57,186,-1,
44,112,55,186,-1,
45,114,57,186,-1,
46,111,58,194,-1,
47,111,58,186,-1,
48,113,57,188,-1,
49,113,58,187,-1,
50,116,60,194,-1,
51,114,59,193,-1,
52,119,57,194,-1,
53,114,63,191,-1,
54,113,56,186,-1,
55,112,54,176,-1,
56,111,68,201,-1,
57,110,55,181,-1,
58,109,56,177,-1,
59,112,56,185,-1,
60,112,61,199,-1,
61,112,58,186,-1,
62,111,55,178,-1,
63,116,61,192,-1,
64,119,58,193,-1,
65,115,58,194,-1,
66,110,58,183,-1,
67,112,62,190,-1,
1,61368,113,58,204,-1
69,116,60,192,-1,
70,132,79,232,-1,
71,165,131,344,-1,
72,166,57,278,-1,
73,119,59,195,-1,
74,114,57,189,-1,
75,114,56,186,-1,
76,111,56,178,-1,
77,111,57,186,-1,
78,112,58,187,-1,
79,111,58,184,-1,
80,110,59,187,-1,
81,110,56,180,-1,
82,112,56,180,-1,
83,111,57,187,-1,
84,111,74,202,-1,
85,111,56,183,-1,
86,112,56,189,-1,
87,126,61,208,-1,
