ID usuario,Tiempo creacion de certificado,Tiempo ACT,Tiempo Total,Tiempo Real,,
5,217,83,393,-1,,
6,237,82,399,-1,,
8,149,69,262,-1,,
7,149,68,263,-1,,
10,154,69,261,-1,,
9,141,86,274,-1,,
12,146,66,254,-1,,
11,150,66,269,-1,,
14,147,58,239,-1,,
13,144,67,248,-1,,
15,166,61,245,-1,,
16,134,86,262,-1,,
18,113,49,184,-1,,
17,132,96,282,-1,,
19,135,65,243,-1,,
20,176,73,275,-1,,
21,140,68,239,-1,,
22,209,81,309,-1,,
23,281,60,379,-1,,
24,286,57,357,-1,,
25,127,69,215,-1,,
26,155,52,249,-1,,
27,150,65,275,-1,,
28,127,77,241,-1,,
29,119,82,219,-1,,
30,110,71,194,-1,,
31,162,70,272,-1,,
32,141,26,196,-1,,
33,160,77,259,-1,,
34,225,75,325,-1,,
35,201,42,275,-1,,
36,184,73,298,-1,,
37,258,57,329,-1,,
38,213,72,302,-1,,
39,237,71,344,-1,,
40,179,64,268,-1,,
41,348,59,445,-1,,
42,300,76,424,-1,,
43,194,78,304,-1,,
44,186,90,294,-1,,
45,199,68,298,-1,,
46,209,63,289,-1,,
47,179,56,257,-1,,
48,198,60,289,-1,,
50,220,91,330,-1,,
49,260,89,369,-1,,
52,145,57,224,-1,,
51,266,82,371,-1,,
53,234,80,377,-1,,
54,161,68,266,-1,,
56,139,75,244,-1,,
55,228,85,342,-1,,
57,178,70,287,-1,,
58,237,72,360,-1,,
59,191,69,290,-1,,
60,172,56,240,-1,,
61,104,56,174,-1,,
62,126,57,198,-1,,
63,126,59,196,-1,,
64,69,31,113,-1,,
4,3643,66765,165,81,305,-1
66,175,79,286,-1,,
67,162,58,235,-1,,
68,195,56,267,-1,,
69,154,59,233,-1,,
70,121,61,201,-1,,
72,86,55,152,-1,,
71,109,64,188,-1,,
73,78,62,153,-1,,
74,110,59,187,-1,,
75,112,57,188,-1,,
76,112,56,187,-1,,
77,111,55,185,-1,,
78,118,55,188,-1,,
79,112,60,190,-1,,
80,112,59,186,-1,,
81,113,55,184,-1,,
82,113,60,187,-1,,
83,111,56,182,-1,,
84,112,55,187,-1,,
85,114,60,189,-1,,
86,109,57,178,-1,,
87,111,85,215,-1,,
88,113,64,195,-1,,
89,112,56,190,-1,,
90,111,59,188,-1,,
91,117,57,193,-1,,
92,110,56,182,-1,,
93,117,56,188,-1,,
94,118,56,191,-1,,
96,128,61,204,-1,,
95,131,60,204,-1,,
98,123,62,219,-1,,
97,112,60,221,-1,,
99,113,57,187,-1,,
100,114,57,192,-1,,
102,124,57,201,-1,,
101,124,57,204,-1,,
103,112,56,183,-1,,
104,114,56,185,-1,,
105,118,57,192,-1,,
106,118,62,197,-1,,
108,115,59,193,-1,,
107,117,59,195,-1,,
109,117,57,194,-1,,
110,118,63,198,-1,,
111,112,55,182,-1,,
112,118,57,190,-1,,
113,113,56,191,-1,,
114,113,55,191,-1,,
116,111,56,182,-1,,
115,111,56,183,-1,,
118,113,56,185,-1,,
117,113,56,188,-1,,
120,114,56,186,-1,,
119,118,58,191,-1,,
122,116,56,190,-1,,
121,116,60,191,-1,,
124,113,74,204,-1,,
123,112,75,206,-1,,
126,114,58,193,-1,,
125,114,68,202,-1,,
127,116,58,190,-1,,
128,110,58,186,-1,,
130,111,59,185,-1,,
129,123,80,221,-1,,
131,120,61,223,-1,,
132,119,58,196,-1,,
134,120,59,200,-1,,
133,124,58,201,-1,,
135,113,57,185,-1,,
136,112,58,186,-1,,
138,83,57,158,-1,,
137,118,59,191,-1,,
139,112,58,183,-1,,
140,110,57,180,-1,,
141,114,56,185,-1,,
142,110,60,193,-1,,
143,115,57,190,-1,,
144,110,55,178,-1,,
145,112,57,183,-1,,
146,114,55,185,-1,,
147,109,56,180,-1,,
148,115,55,189,-1,,
149,116,56,186,-1,,
